gene,control_1,control_2,control_3,cold_1,cold_2,cold_3
Solyc00g094520,3,6,5,10,4,7
Solyc00g094530,2,1,0,1,1,3
Solyc00g094540,0,0,0,0,0,0
Solyc00g094550,2,0,2,0,1,1
Solyc00g094850,0,0,1,0,0,0
Solyc00g095450,0,0,0,0,0,0
Solyc00g095460,0,0,0,0,0,0
Solyc00g095760,12,1,0,3,6,4
Solyc00g095860,59,22,25,46,79,49
Solyc00g096060,0,0,0,0,0,0
Solyc00g096460,21,29,21,20,13,19
Solyc00g097260,0,0,0,0,0,0
Solyc00g097760,0,0,0,0,0,0
Solyc00g097960,5,6,2,1,6,5
Solyc00g098560,47,55,54,21,24,13
Solyc00g099160,0,0,0,0,0,0
Solyc00g099460,0,0,0,0,0,0
Solyc00g099470,0,0,0,0,0,0
Solyc00g099570,0,0,0,0,0,0
Solyc00g099580,1,0,0,0,2,1
Solyc00g099880,0,0,0,0,0,0
Solyc00g100880,0,0,0,0,1,0
Solyc00g101700,0,0,0,0,0,0
Solyc00g102000,0,0,0,0,0,0
Solyc00g102400,8,19,5,11,14,15
Solyc00g104200,0,0,0,0,0,0
Solyc00g104210,0,0,0,0,0,0
Solyc00g104310,0,0,0,0,0,0
Solyc00g104320,0,0,0,0,0,0
Solyc00g104330,0,0,0,0,0,0
Solyc00g104630,0,0,0,0,0,0
Solyc00g104730,0,0,0,0,0,0
Solyc00g104740,0,0,0,0,0,0
Solyc00g104940,0,0,0,0,0,0
Solyc00g105340,0,1,2,0,0,0
Solyc00g105350,0,3,1,0,1,1
Solyc00g105750,1,1,0,0,0,2
Solyc00g106650,25,33,28,31,35,25
Solyc00g107050,0,4,0,0,0,0
Solyc00g107550,0,0,0,0,0,0
Solyc00g108550,0,0,1,0,0,0
Solyc00g109450,0,0,0,0,0,0
Solyc00g109850,0,0,0,0,0,0
Solyc00g109860,0,0,0,0,0,0
Solyc00g110060,0,0,0,0,0,0
Solyc00g110070,0,0,0,0,0,0
Solyc00g110370,0,0,0,0,0,0
Solyc00g110870,5,3,4,2,2,4
Solyc00g111170,0,1,0,0,0,0
Solyc00g111270,0,0,0,0,0,0
Solyc00g111370,0,0,0,0,0,0
Solyc00g111770,0,0,0,0,0,0
Solyc00g111780,0,0,0,0,0,0
Solyc00g112180,0,0,0,0,0,0
Solyc00g112190,0,1,1,3,2,0
Solyc00g112490,0,0,0,0,0,0
Solyc00g112500,0,0,0,0,0,0
Solyc00g112600,0,0,0,0,0,0
Solyc00g112700,0,0,0,0,0,0
Solyc00g112710,0,0,0,0,0,0
Solyc00g112810,0,0,0,0,0,0
Solyc00g112820,0,0,0,0,0,0
Solyc00g112830,0,0,0,0,0,0
Solyc00g112930,0,2,0,0,0,0
Solyc00g113230,0,0,0,0,0,0
Solyc00g113330,0,0,0,0,0,0
Solyc00g113730,0,0,0,0,0,0
Solyc00g113740,0,0,0,0,0,0
Solyc00g113750,0,0,0,0,0,0
Solyc00g114550,0,0,0,0,0,0
